"","municipio_regiao"
"135","Guaraci/RGI de Londrina"
"136","Guaraniaçu/RGI de Cascavel"
"137","Guarapuava/RGI de Guarapuava"
"138","Guaraqueçaba/RGI de Paranaguá"
"139","Guaratuba/RGI de Paranaguá"
"140","Honório Serpa/RGI de Pato Branco"
"141","Ibaiti/RGI de Ibaiti"
"142","Ibema/RGI de Cascavel"
"143","Ibiporã/RGI de Londrina"
"144","Icaraíma/RGI de Umuarama"
"145","Iguaraçu/RGI de Maringá"
"146","Iguatu/RGI de Cascavel"
"147","Imbaú/RGI de Telêmaco Borba"
"148","Imbituva/RGI de Irati"
"149","Inácio Martins/RGI de Guarapuava"
"150","Inajá/RGI de Paranacity - Colorado"
"151","Indianópolis/RGI de Cianorte"
"152","Ipiranga/RGI de Ponta Grossa"
"153","Iporã/RGI de Umuarama"
"154","Iracema do Oeste/RGI de Toledo"
"155","Irati/RGI de Irati"
"156","Iretama/RGI de Campo Mourão"
"157","Itaguajé/RGI de Paranacity - Colorado"
"158","Itaipulândia/RGI de Foz do Iguaçu"
"159","Itambaracá/RGI de Cornélio Procópio - Bandeirantes"
"160","Itambé/RGI de Maringá"
"161","Itapejara d'Oeste/RGI de Pato Branco"
"162","Itaperuçu/RGI de Curitiba"
"163","Itaúna do Sul/RGI de Paranavaí"
"164","Ivaí/RGI de Ponta Grossa"
"165","Ivaiporã/RGI de Ivaiporã"
"166","Ivaté/RGI de Umuarama"
"167","Ivatuba/RGI de Maringá"
"168","Jaboti/RGI de Ibaiti"
"169","Jacarezinho/RGI de Santo Antônio da Platina"
"170","Jaguapitã/RGI de Londrina"
"171","Jaguariaíva/RGI de Ponta Grossa"
"172","Jandaia do Sul/RGI de Apucarana"
"173","Janiópolis/RGI de Campo Mourão"
"174","Japira/RGI de Ibaiti"
"175","Japurá/RGI de Cianorte"
"176","Jardim Alegre/RGI de Ivaiporã"
"177","Jardim Olinda/RGI de Paranacity - Colorado"
"178","Jataizinho/RGI de Londrina"
"179","Jesuítas/RGI de Toledo"
"180","Joaquim Távora/RGI de Santo Antônio da Platina"
"181","Jundiaí do Sul/RGI de Santo Antônio da Platina"
"182","Juranda/RGI de Campo Mourão"
"183","Jussara/RGI de Cianorte"
"184","Kaloré/RGI de Apucarana"
"185","Lapa/RGI de Curitiba"
"186","Laranjal/RGI de Pitanga"
"187","Laranjeiras do Sul/RGI de Laranjeiras do Sul - Quedas do Iguaçu"
"188","Leópolis/RGI de Cornélio Procópio - Bandeirantes"
"189","Lidianópolis/RGI de Ivaiporã"
"190","Lindoeste/RGI de Cascavel"
"191","Loanda/RGI de Loanda"
"192","Lobato/RGI de Paranacity - Colorado"
"193","Londrina/RGI de Londrina"
"194","Luiziana/RGI de Campo Mourão"
"195","Lunardelli/RGI de Ivaiporã"
"196","Lupionópolis/RGI de Londrina"
"197","Mallet/RGI de Irati"
"198","Mamborê/RGI de Campo Mourão"
"199","Mandaguaçu/RGI de Maringá"
"200","Mandaguari/RGI de Maringá"
